20
29
{17,17,17,17,17,17,17,17,1,1,1,17,17,17,17,17,17,17,17,17,17},
{17,17,17,17,17,17,17,17,1,34,1,17,17,17,17,17,17,17,17,17,17},
{17,17,17,17,17,17,17,17,1,30,1,17,17,17,17,17,17,17,17,17,17},
{17,17,17,17,1,1,2,2,2,19,2,3,2,4,3,2,4,2,1,17,17},
{17,17,1,1,1,29,5,10,10,27,10,10,10,10,18,18,18,22,1,17,17},
{17,17,1,36,36,29,9,0,12,0,13,12,14,11,29,29,29,19,1,17,17},
{1,1,1,4,3,28,9,11,29,9,11,36,9,11,28,0,28,19,1,17,17},
{1,34,32,18,18,10,0,11,29,9,16,10,15,0,10,0,10,11,1,17,17},
{2,2,1,29,28,9,0,11,29,9,12,12,12,0,13,12,14,11,1,1,1},
{17,17,1,28,23,12,14,11,29,19,29,29,29,9,11,36,9,25,35,33,1},
{17,17,1,5,11,36,9,11,29,19,28,0,28,9,16,10,15,11,1,2,2},
{17,17,1,9,11,36,9,11,29,9,10,0,10,0,0,0,0,11,1,17,17},
{17,17,1,9,16,10,15,11,29,9,0,0,0,0,12,12,12,11,1,17,17},
{17,17,1,8,12,12,26,7,29,8,12,14,0,11,29,29,29,19,1,17,17},
{17,17,2,2,2,1,19,1,2,2,1,9,0,11,28,0,28,19,1,17,17},
{17,17,17,17,17,1,31,1,17,17,1,9,0,0,10,0,10,11,1,17,17},
{17,17,17,17,17,1,35,1,17,17,1,9,0,0,0,0,0,11,1,17,17},
{17,17,17,17,17,1,38,1,17,17,1,8,12,12,12,12,12,7,1,17,17},
{17,17,17,17,17,37,41,37,17,17,2,2,2,2,2,2,2,2,2,17,17},
{17,17,17,17,17,37,41,37,17,17,17,17,17,17,17,17,17,17,17,17,17},
{17,17,17,17,17,1,38,1,17,17,17,17,17,17,17,17,17,17,17,17,17},
{17,17,17,17,17,1,35,1,17,17,17,17,17,17,17,17,17,17,17,17,17},
{17,17,17,17,17,1,30,1,17,17,17,17,17,17,17,17,17,17,17,17,17},
{17,17,1,3,4,2,19,2,4,3,1,17,17,17,17,17,1,2,2,2,1},
{17,17,1,5,10,10,27,10,10,6,1,17,17,17,17,17,1,5,10,6,1},
{1,1,1,9,13,12,12,12,14,11,1,1,1,37,1,1,1,9,39,11,1},
{1,32,18,24,11,36,36,36,9,25,33,35,38,41,38,35,32,24,0,11,1},
{2,2,1,9,16,10,10,10,15,11,1,2,2,37,2,2,1,9,40,11,1},
{17,17,1,8,12,12,12,12,12,7,1,17,17,17,17,17,1,8,12,7,1},
{17,17,2,2,2,2,2,2,2,2,2,17,17,17,17,17,2,2,2,2,2},



