{17,17,17,17,17,1,1,1,17,17,17,1,1,1,17,17,17,17,17,17,17},
{17,17,17,17,17,1,34,1,17,17,17,1,34,1,17,17,17,17,17,17,17},
{17,17,17,17,17,1,30,1,17,17,17,1,30,1,17,17,17,17,17,17,17},
{17,17,17,1,3,2,19,2,4,2,3,2,19,2,4,2,3,1,17,17,17},
{1,1,1,1,5,10,27,10,10,10,10,10,27,10,10,10,6,1,17,17,17},
{1,32,35,18,24,13,12,12,14,13,12,12,14,13,12,14,11,1,17,17,17},
{2,2,2,1,9,11,1,1,9,11,3,2,9,11,36,9,11,1,1,1,1},
{17,17,17,1,9,11,3,4,9,16,10,10,15,16,10,15,25,18,33,34,1},
{17,17,17,1,9,16,10,10,15,0,0,12,13,12,12,14,11,1,2,2,2},
{17,17,17,1,8,12,12,12,12,14,11,28,19,1,1,9,11,1,17,17,17},
{17,17,17,2,2,2,2,2,1,9,0,10,11,4,3,9,11,1,17,17,17},
{17,17,17,17,17,17,17,17,1,9,0,12,16,10,10,15,11,1,1,1,1},
{17,17,17,17,17,17,1,1,1,9,11,28,9,0,0,0,25,18,33,34,1},
{17,17,17,17,17,17,1,23,35,24,0,10,0,0,0,0,11,1,2,2,2},
{17,17,17,17,17,17,1,35,1,8,12,12,12,12,12,12,7,1,17,17,17},
{17,17,17,17,17,17,1,19,1,2,2,2,2,2,2,2,2,2,17,17,17},
{17,17,17,17,17,17,1,35,1,17,17,17,17,17,17,17,17,17,17,17,17},
{17,17,17,17,17,17,1,19,1,2,3,2,2,3,2,4,2,1,17,17,17},
{17,17,17,17,17,17,1,19,28,5,18,6,28,5,18,6,28,1,17,17,17},
{17,17,17,17,17,17,1,8,18,7,29,8,18,7,29,8,22,1,17,17,17},
{17,17,17,17,17,17,2,2,2,2,2,2,2,2,2,1,35,1,17,17,17},
{17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,1,35,1,17,17,17},
{17,17,17,17,17,17,1,1,1,17,17,1,2,2,2,2,19,2,1,17,17},
{17,17,17,17,17,1,2,30,2,1,17,1,5,10,10,10,27,6,1,17,17},
{17,17,17,17,17,1,5,27,6,1,17,1,9,13,12,12,14,7,1,17,17},
{17,17,17,17,17,1,8,26,7,1,17,1,9,11,3,4,19,28,1,17,17},
{17,17,17,17,17,1,1,35,1,1,1,1,9,16,18,10,15,6,1,17,17},
{17,17,17,17,17,17,1,20,35,35,18,35,24,11,28,9,0,11,1,17,17},
{17,17,17,17,17,17,2,2,2,2,2,1,8,12,18,12,12,7,1,17,17},
{17,17,17,17,17,17,17,17,17,17,17,2,2,2,2,2,2,2,2,17,17},







