20
29
{17,17,17,17,17,17,17,17,17,1,1,1,17,17,17,17,17,17,17,17,17},
{17,17,17,17,17,17,17,17,17,1,30,1,17,17,17,17,17,17,17,17,17},
{17,17,17,17,17,17,17,17,17,1,35,1,17,17,17,17,17,17,17,17,17},
{17,17,17,1,2,2,2,2,2,2,19,2,2,2,2,2,2,1,17,17,17},
{17,17,17,1,5,10,10,10,10,10,27,10,10,10,10,10,6,1,17,17,17},
{1,1,1,1,9,0,0,0,0,0,12,0,0,0,0,0,11,1,1,1,1},
{1,34,32,18,24,0,0,0,0,11,28,9,0,0,0,0,25,18,33,34,1},
{2,2,2,1,9,13,12,12,12,14,10,13,12,12,12,14,11,1,2,2,2},
{17,17,17,1,9,11,1,1,1,9,0,11,1,1,1,9,11,1,17,17,17},
{17,17,17,1,9,11,1,36,1,35,35,35,1,36,1,9,11,1,17,17,17},
{17,17,17,1,9,11,2,3,2,9,0,11,2,4,2,9,11,1,17,17,17},
{1,1,1,1,9,16,10,10,10,15,12,16,10,10,10,15,11,1,1,1,1},
{1,34,32,18,24,0,0,0,0,11,28,9,0,0,0,0,25,18,33,34,1},
{2,2,2,1,9,13,12,12,12,14,10,13,12,12,12,14,11,1,2,2,2},
{17,17,17,1,9,11,1,1,1,9,0,11,1,1,1,9,11,1,17,17,17},
{17,17,17,1,9,11,1,36,1,35,35,35,1,36,1,9,11,1,17,17,17},
{17,17,17,1,9,11,2,4,2,9,0,11,2,3,2,9,11,1,17,17,17},
{1,1,1,1,9,16,10,10,10,15,12,16,10,10,10,15,11,1,1,1,1},
{1,34,32,18,24,0,0,0,0,11,28,9,0,0,0,0,25,18,33,34,1},
{2,2,2,1,9,13,12,12,12,14,10,13,12,12,12,14,11,1,2,2,2},
{17,17,17,1,9,11,1,1,1,9,0,11,1,1,1,9,11,1,17,17,17},
{17,17,17,1,9,11,1,36,1,35,35,35,1,36,1,9,11,1,17,17,17},
{17,17,17,1,9,11,2,3,2,9,0,11,2,4,2,9,11,1,17,17,17},
{1,1,1,1,9,16,10,10,10,15,12,16,10,10,10,15,11,1,1,1,1},
{1,34,32,18,24,0,0,12,0,11,28,9,0,12,0,0,25,18,33,34,1},
{2,2,2,1,9,0,11,28,9,0,10,0,11,28,9,0,11,1,2,2,2},
{17,17,17,1,8,12,12,18,12,12,26,12,12,18,12,12,7,1,17,17,17},
{17,17,17,2,2,2,2,2,2,1,19,1,2,2,2,2,2,2,17,17,17},
{17,17,17,17,17,17,17,17,17,1,31,1,17,17,17,17,17,17,17,17,17},
{17,17,17,17,17,17,17,17,17,2,2,2,17,17,17,17,17,17,17,17,17},



